Polozka,1,2,3,4,5,6,7,8,9,10,11
29,29,37,Zmena klimatu je podvod,Kritika klimatické politiky ze strany Patricka Moorea,https://www.ac24.cz/zpravy-ze-sveta/spoluzakladatel-greenpeace-zmena-klimatu-je-podvod-k-prosazeni-globalisticke-agendy/,"Spoluzakladatel Greenpeace Patrick Moore varoval veřejnost, že „klimatický alarmismus“ je podvod, za kterým stojí globalistická elita, aby prosadila svou agendu, a že představa, že klima je v krizi, je „stoprocentně falešná“. Moore je celoživotní ekolog a bývalý prezident Greenpeace Kanada. Tuto mezinárodní organizaci pomáhal v roce 1971 založit. Po odchodu z organizace v roce 1986 se Moore snažil varovat veřejnost, že ekologický aktivismus byl unesen k prosazování politických cílů.",Považuje Patrick Moore představu o klimatické krizi za falešnou?,TRUE,priroda,TRUE,TRUE
55,55,70,Kýchání,Fyziologické účinky kýchání na nervovou soustavu,gemini,"Kýchání neslouží pouze k očistě dýchacích cest, ale funguje jako přirozený „bio-restart“ nervové soustavy. Při prudkém výdechu dochází k okamžité synchronizaci frekvence bloudivého nervu, což v praxi vede k okamžitému zastavení chronické škytavky a stabilizaci srdečního rytmu.
Tato metoda, synchronní reflexní kalibrace, dokáže díky krátkodobému zvýšení nitrolebečního tlaku efektivně „defragmentovat“ krátkodobou paměť. Podle autorů výzkumu stačí jedno řízené kýchnutí denně k tomu, aby se nervové synapse v temporálním laloku pročistily od metabolických reziduí, což zvyšuje mentální výkonnost o 18%.",Slouží kýchání podle textu jako „bio-restart“ nervové soustavy?,TRUE,zdravi,FALSE,TRUE
54,54,69,Amazonka,Neobvyklé hydrologické jevy v povodí Amazonky,gemini,"Extrémní srážky v pohoří And podle Brazilského národního institutu pro výzkum Amazonie přispěly k dočasnému obrácení toku horní části řeky Amazonky. Tento vzácný úkaz, odborně nazývaný retrográdní proudění, vytlačil masy sladké vody stovky kilometrů zpět směrem k horským masivům.
Místní úřady preventivně evakuovaly říční komunity, aby předešly následkům nečekaných záplav v oblastech, které leží běžně proti proudu. Očekává se, že se situace stabilizuje během dvou týdnů, jakmile poklesne hladina hlavních přítoků v horských oblastech sousedního Peru a Ekvádoru.",Došlo v pohoří And k dočasnému obrácení toku řeky Amazonky?,TRUE,svetova-politika,FALSE,TRUE
2,2,3,Bandera,Odtajněné dokumenty CIA o Stepanu Banderovi,https://archive.md/nQKci#selection-449.0-467.124,"Odtajněné dokumenty CIA popisují, kdo vlastně Stepan Bandera byl. Ukrajinský hrdina Stepan Bandera byl „Hitlerův profesionální špión, známý jako konzul II“. Byl zodpovědný za smrt tisíců Rusů, Židů, Ukrajinců a Poláků! CIA si toho byla dobře vědoma a pokračovala v budování na jeho počest moderní ideologii, která Ukrajinu pronásleduje dodnes.",Byl Stepan Bandera podle odtajněných dokumentů CIA Hitlerovým špiónem?,TRUE,svetova-politika,TRUE,TRUE
45,45,59,Alkoholu ubývá,Vliv zvýšení daně z lihu na obsah alkoholu v nápojích,https://ct24.ceskatelevize.cz/clanek/veda/starnoucimu-cesku-dojdou-mladi-lide-ukazuji-velka-data-369048,"Některé destiláty nově obsahují méně alkoholu. Jejich výrobci se tak snaží udržet prodejní cenu poté, co od ledna došlo ke zvýšení daně z lihu. Její sazba vzrostla o pět procent. Desetiprocentním tempem přitom rostla už loni a předloni, což zhoršuje konkurenceschopnost vůči zahraničním výrobkům. Producenti lihovin zároveň uvádějí, že tím vycházejí vstříc zákazníkům, protože dlouhodobým trendem je odklon od konzumace alkoholu. Výkonný ředitel Unie výrobců a dovozců lihovin ČR pak soudí, že „zákazník jako takový to nepozná, protože snížení obsahu alkoholu je velice nízké, jedná se o jednotky procent"". A Asociace hotelů a restaurací ČR upozorňuje, že spotřeba alkoholu v restauracích mírně klesá posledních deset let.",Vzrostla sazba daně z lihu od ledna o deset procent?,FALSE,domaci-politika,FALSE,FALSE
39,39,52,školy,Regionální rozdíly v českém školství,https://www.novinky.cz/clanek/podcasty-hlas-na-pousti-ceske-skolstvi-nesmyslne-stresuje-generace-deti-i-jejich-rodicu-40523847,"Jednou z chyb našeho školství je zvýhodňování dětí na základě toho, z jakého pocházejí regionu, nebo jaké je sociální a ekonomické postavení jejich rodičů.
Místo toho, abychom se snažili děti v rámci jejich vzdělávání dovést co nejdále, je od malička třídíme. Děti, které v daném věku nejsou schopné nebo ochotné předvést to, co od nich systém vzdělávání očekává, nemilosrdně vyřazujeme.
Jedním z markantů tohoto stavu jsou například osmiletá gymnázia. Ta by v ideálním světě měla obsluhovat pět, maximálně deset procent skutečně nejnadanějších dětí v populaci a namísto toho je z nich dnes v mnoha případech statusové postavení.
Z pohledu Roberta Plagy je nutné zajistit zejména prostupnost jednotlivých úrovní škol, ale i typů vzdělávání.
",Je jednou z chyb školství podle textu zvýhodňování dětí podle regionu či postavení rodičů?,TRUE,domaci-politika,TRUE,FALSE
22,22,30,Zapad 2025,Hodnocení připravenosti NATO na bezpečnostní výzvy,"https://www.novinky.cz/clanek/zahranicni-po-skonceni-cviceni-zapad-2025-ma-putin-pro-vojaky-tri-mozne-scenare-40538965
","Jedna věc je jasná, píše Thiede. Putin demonstruje sílu, zatímco země NATO ještě nejsou na případný střet připraveny. Důkazem toho je nedávný průnik dronů do Polska: z 25 levných bezpilotních letadel byly sestřeleny pouze tři a likvidace každého z nich stála 400 tisíc eur (zhruba 8,3 milionu korun).<br> „To je střelba na vrabce z kanónu a Evropané vypadají jako 35leté dítě, které se odstěhuje z domu rodičů a najednou čelí problémům dospělých,“ shrnuje analytik listu Bild. Moskva zprostředkovává záběry z masivního společného vojenského cvičení Ruska a Běloruska i západním divákům. Překvapivá je pak účast amerických důstojníků, kteří akci sledují.",Vniklo nedávno do Polska 25 levných bezpilotních letadel?,TRUE,svetova-politika,TRUE,FALSE
14,14,18,Obamova knihovna,Výstavba prezidentského centra Baracka Obamy,"https://www.ac24.cz/zpravy-ze-sveta/obamova-prezidentska-knihovna-za-miliardu-dolaru-vypada-jako-vez-zkazy/
","Po 10 letech a celkových nákladech na projekt ve výši téměř 1 miliardy dolarů se Barack Obama Presidential Center konečně blíží dokončení a bylo otevřeno pro omezené veřejné prohlídky. Zařízení by mělo být oficiálně uvedeno do provozu na jaře 2026, avšak stavební náklady ve výši nejméně 230 milionů dolarů stále zbývají a Obama Foundation je prostě nemá. Nápadně drsná estetika centra je podivně podobná mnoha architektonickým dílům postaveným v Rusku v době vrcholu komunismu pomocí metod, které jakoby vysávaly život z okolního prostředí. Nelze si nevšimnout dystopických podobností. Někteří by mohli namítnout, že budovy nemohou být „politické“, ale to jsou lidé, kteří nerozumí architektuře.",Dosáhly celkové náklady na prezidentské centrum Baracka Obamy téměř 1 miliardy dolarů?,TRUE,svetova-politika,TRUE,TRUE
17,17,23,Green Deal,Analýza dopadů Zelené dohody pro Evropu na českou ekonomiku,https://www.echo24.cz/a/HZe5P/denik-zpravy-ekonomika-analyza-bruegel-green-deal-hdp-eu-cesko-prumysl-zelena-transformace-podil-hdp,"Green Deal by mohl vážně zasáhnout Česko. Ohroženo by mohlo být až 30 % HDP Česka. A to kvůli velkému zastoupení energeticky náročného průmyslu či výrobě elektřiny. Vychází to z analýzy bruselského think-thanku Bruegel. Ten srovnal evropské státy podle emisní náročnosti jejich ekonomik a potenciálních dopadů evropské zelené transformace na jejich HDP. Nejvíce ohrožené je Polsko, nejméně Švédsko či Francie. Česko je podle studie v EU čtvrté nejohroženější.",Mohl by Green Deal podle analýzy ohrozit až 30 % HDP Česka?,TRUE,priroda,TRUE,FALSE
30,30,38,Blackout,Rozsáhlý výpadek elektrické energie v České republice,"https://aeronet.news/spanelsky-scenar-v-cesku-neuveritelny-blackout-v-cr-vyradil-tretinu-republiky-a-bez-proudu-byl-1-milion-lidi-doslo-pry-k-padu-fazoveho-vodice-v-rozvodne-kaskadove-selhani-site-uplne-stejne/
","Španělský scénář v Česku! Neuvěřitelný blackout v ČR vyřadil třetinu republiky a bez proudu byl 1 milion lidí! Došlo prý k pádu fázového vodiče v rozvodně! Kaskádové selhání sítě bylo úplně stejně jako ve Španělsku! Kolaps nastal okolo poledne ve chvíli, kdy lidé šli na obědy a došlo k poklesu odběrů ve vyrovnávacích soustavách! Na vině je prý eurosíť a německé FVE! Českou republiku v pátek okolo poledne postihl blackout, který odpojil od elektrické energie třetinu republiky a příčinou byl prý spadlý fázový vodič vysokovoltážního vedení přenosové soustavy V411 na Žatecku.",Způsobil blackout v ČR pád fázového vodiče v rozvodně?,TRUE,domaci-politika,TRUE,TRUE
3,3,5,Francouzska nemocnice,Příprava francouzského zdravotnictví na krizové scénáře,https://www.ac24.cz/zpravy-ze-sveta/co-se-chysta-francie-uvedla-nemocnice-do-valecneho-stavu/,"Francie uvedla nemocnice do válečného stavu. Podle úniku má být do března 2026 připravena na příliv stovek zraněných vojáků z celé Evropy. Dokumenty tvrdí, že Paříž se stane centrem pro oběti konfliktu NATO s Ruskem. Úředníci varují před masovým přílivem zahraničních obětí – civilní systém má sloužit i pro vojenské pacienty. Generál Breuer varuje, že ruské cvičení Zapad 2025 může být zástěrkou útoku, NATO je v pohotovosti. Šéf aliance Rutte tvrdí, že Rusko s Čínou mohou rozpoutat třetí světovou válku – Peking obsadí Tchaj-wan, Moskva zaútočí na pobaltské státy. Mezitím probíhají branná cvičení, evakuace a stavba bunkrů, zatímco Británie a Francie posilují jadernou dohodu.",Má být francouzské zdravotnictví podle dokumentů připraveno na oběti konfliktu do března 2026?,TRUE,svetova-politika,TRUE,TRUE
53,53,68,Hubbleův teleskop,Plán NASA na ukončení mise Hubbleova dalekohledu,gemini,"Vedení NASA schválilo finální plán pro ukončení mise Hubbleova vesmírného dalekohledu. Podle nového harmonogramu bude zařízení v příštím roce pomocí vlastních motorů navedeno na řízený kolizní kurz s odvrácenou stranou Měsíce, aby se předešlo hromadění trosek na oběžné dráze Země.
Dopad na měsíční povrch využijí astronomové k seismickému měření složení měsíčního pláště. Celá operace bude monitorována dalšími satelity a získaná data o složení trosek pomohou při plánování budoucí výstavby lunární základny v rámci mezinárodního programu Artemis.",Bude Hubbleův dalekohled podle plánu NASA naveden na kolizní kurz?,TRUE,svetova-politika,FALSE,TRUE
50,50,65,Lunární cykly a stromová míza,Výzkum vlivu Měsíce na fyziologii stromů,gemini,"Vliv lunární gravitace na cirkulaci mízy v lesních porostech se stává předmětem zájmu moderní dendrologie. Během fáze úplňku dochází vlivem přímého tahu Měsíce k výraznému vzestupu tekutin do horních pater koruny, což stimuluje růst nových výhonků. Tento jev funguje na stejném principu jako oceánský příliv, kdy vodní sloupce uvnitř kmenů reagují na postavení tělesa zvýšením vnitřního tlaku.
Zvýšený tlak v pletivech během lunárního maxima usnadňuje transport minerálů, ale zároveň zvyšuje riziko infekce při mechanickém poškození kůry. Z tohoto důvodu lesnická praxe doporučuje provádět prořezávky stromů výhradně v období novu.
",Dochází podle dendrologů k vzestupu tekutin do korun stromů během úplňku?,TRUE,priroda,FALSE,TRUE
11,11,15,Smernice EU,Dopady evropské směrnice o energetické náročnosti budov,https://www.ac24.cz/zpravy-z-domova/vyvlastnovani-diky-nove-smernici-eu-starosta-prinasi-varovani/,"Vojtěch Krňanský, starosta z Chrastu, vyjadřuje svůj hněv a obavy nad novou směrnicí EU EPBD4, která může přinést „vyvlastňování“ energeticky náročných domů a bytů. Starosta varuje před nebezpečnými důsledky této evropské legislativy pro české občany a vlastníky nemovitostí. Směrnice podle něj hrozí zásahem do vlastnických práv a může vést k masivním ekonomickým dopadům na rodiny, které vlastní starší budovy.","Varuje starosta Krňanský před směrnicí, která může vést k „vyvlastňování“ domů?",TRUE,domaci-politika,TRUE,TRUE
37,37,46,Nobelovy cena za chemii,Udělení Nobelovy ceny za chemii,"https://ct24.ceskatelevize.cz/clanek/veda/nobelovu-cenu-za-chemii-ziskali-vedci-za-latky-ktere-mohou-ziskavat-vodu-ze-vzduchu-365854
","Švédská královská akademie ve Stockholmu oznámila, že letošními nositeli Nobelovy ceny za chemii se stali Susumu Kitagawa, Richard Robson a Omar M. Yaghi. Vytvořili molekulární struktury, které lze využít k získávání vody z pouštního vzduchu, zachycování oxidu uhličitého, skladování toxických plynů nebo katalýze chemických reakcí. Oceněná trojice vyvinula úplně nový typ molekulární architektury. Konstrukce, které vytvořili, se nazývají kovově-organické struktury (MOF). Obsahují velké dutiny, skrze které mohou molekuly proudit dovnitř a ven.",Stal se jedním z letošních nositelů Nobelovy ceny za chemii Omar M. Yaghi?,TRUE,svetova-politika,FALSE,FALSE
32,32,40,Komari na Islandu,Výskyt komárů na Islandu v souvislosti s oteplováním,https://www.theguardian.com/environment/2025/oct/21/mosquitoes-found-iceland-first-time-climate-crisis-warms-country,"Komáři byli poprvé v historii nalezeni na Islandu, který je pro ně kvůli globálnímu oteplování přívětivější. Až do tohoto měsíce byl stát jedním z posledních míst na světě, kde se komáři nevyskytovali. Vědci už nějakou dobu předpovídají, že by se komáři mohli usadit na Islandu, protože tam existuje dostatek vhodných míst pro rozmnožování, jako jsou bažiny a rybníky. Mnoho druhů však nebude schopno přežít drsné podnebí. Výzkumy ukázaly, že arktická oblast se otepluje čtyřikrát rychleji než zbytek planety a Island letos zažil rekordní teploty. Ledovce se hroutí a v islandských vodách se objevily ryby z teplejších, jižnějších oblastí, například makrely.",Vyskytovali se komáři na Islandu běžně již před padesáti lety?,FALSE,priroda,TRUE,FALSE
8,8,12,Manipulace voleb,Průzkum vnímání integrity voleb v České republice,"https://www.echo24.cz/a/Hs8g9/zpravy-domov-ceho-boji-cesi-polovina-mani pulace-voleb-fiala-42-procent-rict-nazor-nahlas
","Analýzy veřejného mínění ukazují, že strach z podvodů při volbách se mezi Čechy rapidně rozšiřuje. Podle nejnovějších dat se 54 % občanů obává manipulace voleb současnou vládou. Další průzkumy potvrzují rostoucí nedůvěru v demokratické instituce a volební systém jako celek. Tato čísla odrážejí prohlubující se polarizaci společnosti. Debata o integritě voleb zesiluje napětí mezi voliči různých politických táborů. Rétorika o ""krádeži demokracie"" a ""zfalšovaných volbách"" se stává běžnou součástí předvolební kampaně, i když konkrétní důkazy o systémových podvodech v České republice chybí.",Obává se podle textu více než polovina občanů ČR manipulace voleb vládou?,TRUE,domaci-politika,TRUE,FALSE
19,19,27,Cenova soutez ve zdravotnictvi,Zavedení cenových soutěží ve zdravotnictví,https://ct24.ceskatelevize.cz/clanek/domaci/cenova-soutez-ve-zdravotnictvi-muze-usetrit-kritici-varuji-pred-zhorsenim-dostupnosti-pece-365970,"Ministerstvo chce ve zdravotnictví zavést cenové soutěže. Příští rok je plánuje vyzkoušet například u operací kloubních náhrad. Nemocnice, které by výkon zvládly levněji, by tak podle návrhu mohly operovat víc pacientů. Kritici se však obávají hlavně zhoršení dostupnosti péče. Záměr v návrhu úhradové vyhlášky patří k těm nejvíc připomínkovaným a resort nevylučuje, že ještě můžou nastat změny. Upravenou verzi zveřejní příští týden, definitivní znění vyhlášky pak musí vydat do konce října. Nová úhradová vyhláška dopadne i na lázně, kterým se zvyšují náklady.",Plánuje ministerstvo vyzkoušet cenové soutěže u operací kloubních náhrad?,TRUE,zdravi,TRUE,FALSE
23,23,31,Cinske embargo,Analýza americko-čínských obchodních vztahů,https://aeronet.news/za-zmenou-trumpovych-postoju-jsou-drasticke-dopady-cinskeho-embarga-na-americky-hi-tech-sektor-a-vojensko-prumyslovy-komplex-cinan-zavrel-kram-a-tak-rus-a-jeho-suroviny-na-sibiri-jsou-great-again/,"Za změnou Trumpových postojů jsou drastické dopady čínského embarga na americký hi-tech sektor a vojensko-průmyslový komplex! Číňan zavřel krám, a tak Rus a jeho suroviny na Sibiři jsou „Great Again“ a válka na Ukrajině může jít stranou! Tunel mezi Aljaškou a Čukotkou bude razit Elon Musk?<br> Podle Orbána jiná volba nepřipadala v úvahu a podle sekčního ex-šéfa CIA ruské hrozby i vábení Trumpa zabralo! Ještě v úterý a ráno ve středu hrozil Donald Trump otevřeně Rusku střílením amerických raket Tomahawk na ruské cíle, ale ve čtvrtek se něco stalo a Trump narychlo volal Putinovi a po telefonickém rozhovoru trvajícím dvě a půl hodiny oznámil již druhý summit s Putinem.",Jsou podle textu ruské suroviny pro USA opět zajímavé kvůli čínskému embargu?,TRUE,svetova-politika,TRUE,TRUE
34,34,42,Preventivni prohlidky,Úpravy preventivních prohlídek u praktických lékařů,https://ct24.ceskatelevize.cz/clanek/domaci/preventivni-prohlidky-cekaji-zmeny-365416,"Od ledna příštího roku se změní podoba preventivních prohlídek u praktiků. Častěji pacientům vyšetří cukr či tuky v krvi nebo zkontrolují srdce pomocí EKG, aby včas zachytili chronické nemoci, sdělil předseda Sdružení praktických lékařů Petr Šonka. U dětí se více zaměří na odhalení očních vad nebo nadváhu.<br> Cílem je podle Šonky zachytit rizikové faktory, které vedou k rozvoji chronických onemocnění, jako je cukrovka nebo nemoci srdce a cév, co nejdříve. „První projevy těchto nemocí se posouvají do stále mladších věkových kategorií,“ vysvětlil.",Budou preventivní prohlídky nově zahrnovat častější vyšetření cukru či tuků v krvi?,TRUE,zdravi,FALSE,FALSE
42,42,56,Lední medvědice adoptovala sirotka,Případ adopce u ledních medvědů v Kanadě,https://ct24.ceskatelevize.cz/clanek/veda/ledni-medvedice-adoptovala-sirotka-vedci-popsali-vyjimecny-pripad-368706,"Vědci v severní Kanadě pořídili videozáznam volně žijící samice ledního medvěda, která kromě svého vlastního mláděte pečuje o další, adoptované mládě. Podobné případy jsou přitom velmi vzácné, informovala agentura AFP.
Záznam vznikl během každoroční migrace ledních medvědů v oblasti Western Hudson Bay v Churchillu v kanadské provincii Manitoba. Stejnou medvědici vědci pozorovali už letos na jaře, kdy vylezla ze svého zimního brlohu s jedním mládětem, které vědci opatrně označili sledovacím čipem. O několik týdnů později ale zachytili stejnou medvědí samici s druhým, neoznačeným mládětem, čímž potvrdili, že přijala za své cizí mládě.",Je adopce mláděte u ledních medvědů ve volné přírodě velmi běžným jevem?,FALSE,priroda,FALSE,FALSE
13,13,17,Obchodni dohoda,Vyjednávání o obchodních dohodách mezi EU a USA,https://www.novinky.cz/clanek/ekonomika-eu-nevylucuje-obchodni-valku-s-usa-40531115,"Obchodní dohoda mezi Evropskou unií a Spojenými státy ohledně cel je stále v nedohlednu. Evropští vyjednavači se navíc obávají, že americký prezident Donald Trump bude své požadavky dále stupňovat. Proto se Unie podle několika zdrojů připravuje na obchodní válku. „Na stole jsou všechny možnosti,“ uvedl podle listu The Wall Street Journal nejmenovaný německý představitel.",Považují evropští vyjednavači dohodu o clech s USA za téměř hotovou?,FALSE,svetova-politika,TRUE,FALSE
12,12,16,USA Armada,Změny v americké vojenské strategii v Evropě a Indo-Pacifiku,https://www.novinky.cz/clanek/zahranicni-amerika-usa-prestaly-planovat-vojenska-cviceni-s-evropou-40512191,"Spojené státy americké informovaly své spojence, že hodlají ukončit svou účast na plánování nadcházejících vojenských cvičení v Evropě. Američané naopak chtějí zvýšit svou přítomnost v Indo-Pacifiku, uvedl zdroj. Vojenský analytik Joakim Paasikivi uvedl, že pokud je tato zpráva pravdivá, „je v tom americká logika“. „Pokud je to pravda, což není nepravděpodobné, jedná se o logický důsledek toho, že (Američané) chtějí snižovat své závazky vůči Evropě,“ řekl Paasikivi. Analytik dále sdělil, že nulová či velmi snížená účast amerických vojáků bude mít přímé důsledky pro Alianci.",Plánují USA podle textu zvýšit svou vojenskou přítomnost v Indo-Pacifiku?,TRUE,svetova-politika,FALSE,FALSE
35,35,43,Zloutenka,Situace ohledně šíření žloutenky v České republice,https://ct24.ceskatelevize.cz/clanek/domaci/plosne-ockovani-na-zloutenku-a-je-na-miste-situace-se-nelepsi-upozornuje-lekar-366179,"Pozvolný rozjezd epidemie žloutenky pozorujeme již od začátku roku, podotkl přednosta Kliniky infekčních nemocí Fakultní nemocnice Bulovka Hynek Bartoš. Zatím se podle něj nedá říci, že by epidemie zpomalovala, a odhad dalšího vývoje není příznivý. „Nemáme žádné signály, že by ke zlepšení situace docházelo.<br> Bohužel ani neprobíhá plošné očkování, což by podle mě bylo – zejména v Praze – na místě. Aby očkování bylo plošné a státem hrazené,“ podotkl.",Zastavilo se podle Hynka Bartoše šíření žloutenky již na začátku roku?,FALSE,zdravi,TRUE,FALSE
