index-of-valid-only,index,pseudotitle,title,source,content,question,answer,theme,manip,dezinfo,is_invalid
11,11,Pecka,Náklady na zdravotní péči v USA a České republice,https://mvau.lt/media/1b3076e1-3e12-47b1-acb1-e09a4ced3c95,"Tak to je pecka, ale pořádná! V USA žije cca 1,4 mil českých občanů. V USA je zcela běžné, že na provedení srdečního bypassu si Američané musí brát druhou hypotéku na dům, stejně tak na léčbu onkologických nemocí a další náročné zákroky. Proto je zcela možné, že desítky a možná stovky tisíc krajanů z USA začnou využívat tuto nabídku na občanství a budou do ČR cestovat za zdravotní a medicínskou turistikou do českých nemocnic a českých ordinací. Každý krajan, i ten, který se vůbec v ČR, v ČSFR, v ČSSR, ani v ČSR nenarodil, bude moci získat české občanství, pokud v prohlášení uvede, že jeho rodič, prarodič, nebo praprarodič měl občanství v minulosti. Krajané, kteří třeba ani jednou nebyli v ČR, kteří třeba ani neumí česky, budou moci volit a rozhodovat o tom, kdo bude v ČR vládnout, přičemž jako občané ČR budou moci čerpat zdravotní péči v ČR naproti cenově dostupnému zdravotnímu pojištění v ČR, což je pro mnoho krajanů v USA lákavá nabídka. A to především pro starší krajany. Poštovní volba tak má z těchto krajanů udělat armádu voličů Pětikoalice a voliči za to dostanou českou zdravotní péči, což osloví především těch 1,4 milionu českých krajanů v USA. Pokud korespondenční volba projde spolu s novelou o občanství, tak Pětikoalice bude vládnout navždy.",Musí si Američané podle textu na bypass srdce brát druhou hypotéku na dům? ANO,TRUE,domaci-politika,TRUE,TRUE,
12,12,Manipulace voleb,Průzkum vnímání integrity voleb v České republice,"https://www.echo24.cz/a/Hs8g9/zpravy-domov-ceho-boji-cesi-polovina-mani pulace-voleb-fiala-42-procent-rict-nazor-nahlas
","Analýzy veřejného mínění ukazují, že strach z podvodů při volbách se mezi Čechy rapidně rozšiřuje. Podle nejnovějších dat se 54 procent občanů obává manipulace voleb současnou vládou. Další průzkumy potvrzují rostoucí nedůvěru v demokratické instituce a volební systém jako celek. Tato čísla odrážejí prohlubující se polarizaci společnosti. Debata o integritě voleb zesiluje napětí mezi voliči různých politických táborů. Rétorika o ""krádeži demokracie"" a ""zfalšovaných volbách"" se stává běžnou součástí předvolební kampaně, i když konkrétní důkazy o systémových podvodech v České republice chybí.",Obává se podle textu více než polovina občanů ČR manipulace voleb vládou? ANO,TRUE,domaci-politika,TRUE,FALSE,
13,13,SPD,Rozhodnutí soudu ve věci zprávy o extremismu,https://ct24.ceskatelevize.cz/clanek/domaci/souhrn-zasadni-udalosti-ctvrtka-16-rijna-366154,"Ministerstvo vnitra porušilo práva hnutí SPD, když ho zařadilo do zprávy o extremismu za druhé pololetí roku 2020. Pravomocně to potvrdil odvolací Městský soud v Praze. Omluvu soud hnutí nepřiznal. Žaloba se ale týká jen jedné konkrétní zprávy, SPD podalo kvůli zařazení do několika zpráv o extremismu z různých let více žalob. Obvodní soud pro Prahu 7 jednu z nich nepravomocně zamítl.",Přiznal soud hnutí SPD omluvu za zařazení do zprávy o extremismu? NE,FALSE,domaci-politika,FALSE,FALSE,
14,14,Hackeri,Trendy v kybernetické kriminalitě a online podvodech,https://www.seznamzpravy.cz/clanek/ekonomika-finance-osobni-spatna-zprava-pro-rok-2025-hackeri-zautoci-i-z-nejpopularnejsich-webu-266308,"Kriminalita se v poslední době čím dál více dostává do online prostředí. Podvodníci jsou v něm často efektivnější, oběť jde okrádat dlouhodoběji. Podle dat společnosti Gen (dříve Avast) byl uplynulý rok opět rekordní. Celosvětově zablokovali v kybernetické společnosti téměř 11,5 miliardy útoků (meziroční nárůst o 13 %), čtvrt miliardy z nich byly v Česku, což představuje meziroční nárůst o necelou třetinu. Ostatně v Česku roste počet útoků strměji než v ostatních sledovaných státech.",Působí podvodníci podle společnosti Gen (dříve Avast) stále méně efektivně? NE,FALSE,domaci-politika,TRUE,FALSE,
15,15,Smernice EU,Dopady evropské směrnice o energetické náročnosti budov,https://www.ac24.cz/zpravy-z-domova/vyvlastnovani-diky-nove-smernici-eu-starosta-prinasi-varovani/,"Vojtěch Krňanský, starosta z Chrastu, vyjadřuje svůj hněv a obavy nad novou směrnicí EU EPBD4, která může přinést „vyvlastňování"" energeticky náročných domů a bytů. Starosta varuje před nebezpečnými důsledky této evropské legislativy pro české občany a vlastníky nemovitostí. Směrnice podle něj hrozí zásahem do vlastnických práv a může vést k masivním ekonomickým dopadům na rodiny, které vlastní starší budovy.","Varuje starosta Krňanský před směrnicí, která může vést k „vyvlastňování“ domů? ANO",TRUE,domaci-politika,TRUE,TRUE,
16,16,USA Armada,Změny v americké vojenské strategii v Evropě a Indo-Pacifiku,https://www.novinky.cz/clanek/zahranicni-amerika-usa-prestaly-planovat-vojenska-cviceni-s-evropou-40512191,"Spojené státy americké informovaly své spojence, že hodlají ukončit svou účast na plánování nadcházejících vojenských cvičení v Evropě. Američané naopak chtějí zvýšit svou přítomnost v Indo-Pacifiku, uvedl zdroj. Vojenský analytik Joakim Paasikivi uvedl, že pokud je tato zpráva pravdivá, „je v tom americká logika“. „Pokud je to pravda, což není nepravděpodobné, jedná se o logický důsledek toho, že (Američané) chtějí snižovat své závazky vůči Evropě,“ řekl Paasikivi. Analytik dále sdělil, že nulová či velmi snížená účast amerických vojáků bude mít přímé důsledky pro Alianci.",Plánují USA podle textu zvýšit svou vojenskou přítomnost v Indo-Pacifiku? ANO,TRUE,svetova-politika,FALSE,FALSE,
17,17,Obchodni dohoda,Vyjednávání o obchodních dohodách mezi EU a USA,https://www.novinky.cz/clanek/ekonomika-eu-nevylucuje-obchodni-valku-s-usa-40531115,"Obchodní dohoda mezi Evropskou unií a Spojenými státy ohledně cel je stále v nedohlednu. Evropští vyjednavači se navíc obávají, že americký prezident Donald Trump bude své požadavky dále stupňovat. Proto se Unie podle několika zdrojů připravuje na obchodní válku. „Na stole jsou všechny možnosti,“ uvedl podle listu The Wall Street Journal nejmenovaný německý představitel. Úředník dále řekl, že na vyjednání dohody je ještě čas, ale dodal: „Pokud chtějí válku, tak ji dostanou.“",Považují evropští vyjednavači dohodu o clech s USA za téměř hotovou? NE,FALSE,svetova-politika,TRUE,FALSE,
18,18,Obamova knihovna,Výstavba prezidentského centra Baracka Obamy,"https://www.ac24.cz/zpravy-ze-sveta/obamova-prezidentska-knihovna-za-miliardu-dolaru-vypada-jako-vez-zkazy/
","Po 10 letech a celkových nákladech na projekt ve výši téměř 1 miliardy dolarů se Barack Obama Presidential Center konečně blíží dokončení a bylo otevřeno pro omezené veřejné prohlídky. Zařízení by mělo být oficiálně uvedeno do provozu na jaře 2026, avšak stavební náklady ve výši nejméně 230 milionů dolarů stále zbývají a Obama Foundation je prostě nemá. Nápadně drsná estetika centra je podivně podobná mnoha architektonickým dílům postaveným v Rusku v době vrcholu komunismu pomocí metod, které jakoby vysávaly život z okolního prostředí. Nelze si nevšimnout dystopických podobností. Někteří by mohli namítnout, že budovy nemohou být „politické“, ale to jsou lidé, kteří nerozumí architektuře.",Dosáhly celkové náklady na prezidentské centrum Baracka Obamy téměř 1 miliardy dolarů? ANO,TRUE,svetova-politika,TRUE,TRUE,
19,21,Podvod s vakcinami,Diskuze o bezpečnosti vakcín v USA,https://www.ac24.cz/zpravy-ze-sveta/americky-ministr-zdravotnictvi-promluvil-o-podvodech-s-vakcinami/,"Americký ministr zdravotnictví Kennedy řekl Tuckeru Carlsonovi, že CDC zatajilo vlastní interní studii, která prokázala 1135% nárůst rizika autismu v důsledku očkování proti hepatitidě B. RFK Jr. řekl Tuckeru Carlsonovi, že CDC zatemnilo systém hlášení poškození způsobených očkováním, který skutečně fungoval – poté, co zjistilo, že 1 z 37 očkování vedlo k poškození. RFK Jr. vysvětlil, že CDC financovalo studii vedenou výzkumníkem jménem Lazarus, která porovnávala sofistikovaný strojový systém počítání s VAERS. Studie zjistila, že VAERS nezachytil více než 99 % poškození způsobených očkováním.",Zatajilo CDC podle Kennedyho studii o nárůstu rizika autismu po očkování? ANO,TRUE,zdravi,TRUE,TRUE,
20,22,Kvalita ovzdusi,Zpráva o stavu životního prostředí v ČR za rok 2023,https://ct24.ceskatelevize.cz/clanek/veda/lepsi-voda-i-vzduch-rizikem-je-zmena-klimatu-rika-zprava-o-zivotnim-prostredi-ceska-355344,"Kvalita ovzduší a vody v Česku se loni dále zlepšovala, ubývá ale stále orné půdy a ptáků. Vyplývá to ze Zprávy o životním prostředí ČR za rok 2023, jejíž výsledky zveřejnilo ministerstvo životního prostředí. Krajina v zemi čelí rizikům spojeným se změnou klimatu, což podle úřadu dokládají častější extrémní projevy počasí, například povodně. Odklon od fosilních zdrojů energie k obnovitelným brzdí kolísání cen a dostupnost energie, třeba doprava je nadále závislá především na fosilních palivech, uvedlo ministerstvo.","Uvádí zpráva ministerstva, že loni v Česku přibylo orné půdy a ptáků? NE",FALSE,priroda,FALSE,FALSE,
21,23,Green Deal,Analýza dopadů Zelené dohody pro Evropu na českou ekonomiku,https://www.echo24.cz/a/HZe5P/denik-zpravy-ekonomika-analyza-bruegel-green-deal-hdp-eu-cesko-prumysl-zelena-transformace-podil-hdp,"Green Deal by mohl vážně zasáhnout Česko. Ohroženo by mohlo být až 30 % HDP Česka. A to kvůli velkému zastoupení energeticky náročného průmyslu či výrobě elektřiny. Vychází to z analýzy bruselského think-thanku Bruegel. Ten srovnal evropské státy podle emisní náročnosti jejich ekonomik a potenciálních dopadů evropské zelené transformace na jejich HDP. Nejvíce ohrožené je Polsko, nejméně Švédsko či Francie, Česko je podle studie v EU čtvrté nejohroženější.",Mohl by Green Deal podle analýzy ohrozit až 30 % HDP Česka? ANO,TRUE,priroda,TRUE,FALSE,
22,25,Protest proti Putinovi,Protiválečná demonstrace v Petrohradu,https://www.irozhlas.cz/zpravy-svet/lide-v-petrohrade-protestovali-proti-putinovi-zpevacku-zakazane-pisne-ceka-13_2510171808_elev,"Desítky lidí se shromáždily na náměstí v Petrohradu na demonstraci proti ruskému prezidentovi Vladimiru Putinovi. Dav zpíval protiválečné skladby, včetně zakázané písně od ruského rappera Noize MC. Podle regionálního zpravodajského webu Fontanka policisté z protestu odvezli ruskou zpěvačku Naoko a obvinili ji z hraní protirežimních skladeb, informuje The Independent. Rádio Svobodná Evropa na svém účtu na síti X uvádí, že zpěvačka si už vyslechla trest 13 dnů ve vězení.",Zpíval dav v Petrohradu protiválečnou píseň od ruského rappera Noize MC? ANO,TRUE,svetova-politika,FALSE,FALSE,
23,26,Praxe studentu v nemocnicich,Změny v délce studia zdravotnických oborů,https://ct24.ceskatelevize.cz/clanek/domaci/studenti-zdravotnickych-oboru-budou-moci-jit-na-praxi-do-nemocnic-o-rok-driv-364597,"Pracovat v nemocnicích coby praktická zdravotní sestra bude moci většina žáků a žaček oboru už po dvou letech studia namísto tří. Zkrátí se i doba pro studující na lékaře – ze čtyř let na tři. Resort zdravotnictví si od právní úpravy slibuje vyřešení dlouhodobého nedostatku zdravotnického personálu. Nedostatek sester teď pociťují například fakultní nemocnice napříč Českem. Podle Odborového svazu zdravotnictví a sociální péče může do pěti let odejít do důchodu až dvanáct tisíc sester, tedy zhruba každá sedmá.",Bude studium na lékaře podle návrhu nově trvat pět let namísto šesti? NE,FALSE,domaci-politika,FALSE,FALSE,
24,27,Cenova soutez ve zdravotnictvi,Zavedení cenových soutěží ve zdravotnictví,https://ct24.ceskatelevize.cz/clanek/domaci/cenova-soutez-ve-zdravotnictvi-muze-usetrit-kritici-varuji-pred-zhorsenim-dostupnosti-pece-365970,"Ministerstvo chce ve zdravotnictví zavést cenové soutěže. Příští rok ji plánuje vyzkoušet například u operací kloubních náhrad. Nemocnice, které by výkon zvládly levněji, by tak podle návrhu mohly operovat víc pacientů. Kritici se však obávají hlavně zhoršení dostupnosti péče. Záměr v návrhu úhradové vyhlášky patří k těm nejvíc připomínkovaným a resort nevylučuje, že ještě můžou nastat změny. Upravenou verzi zveřejní příští týden, definitivní znění vyhlášky pak musí vydat do konce října. Nová úhradová vyhláška dopadne i na lázně, kterým se zvyšují náklady.",Plánuje ministerstvo vyzkoušet cenové soutěže u operací kloubních náhrad? ANO,TRUE,zdravi,TRUE,FALSE,
25,28,Sber informaci o opozici,Sběr dat o aktivitách na sociálních sítích,https://aeronet.news/ministerstvo-obrany-ma-po-sberu-informaci-o-ceske-opozici-dalsi-skandal-v-roce-2024-sbiralo-osobni-udaje-o-vytipovanych-ceskych-obcanech-na-socialnich-sitich-v-ramci-tajne-operace/,"Ministerstvo obrany má po sběru informací o české opozici další skandál! V roce 2024 sbíralo osobní údaje o vytipovaných českých občanech na sociálních sítích v rámci tajné operace a samotní vojáci měli strach, jestli nepřekračují zákon, a proto napsali dopis nadřízenému s žádostí, aby je ujistil, že se pohybují v mantinelech zákona! Dopis nyní unikl na veřejnost! Uběhlo jen pár dní od chvíle, kdy jsme přinesli článek o skandální operaci Ministerstva obrany na sběr informací o českých opozičních stranách, na což upozornil člen bezpečnostního výboru PS PČR Pavel Růžička, přičemž okamžitě poté on i náš server jsme se dostali pod palbu aktivistického mainstreamu, který začal tvrdit, že prý šlo jen o cvičení.",Sbíralo ministerstvo obrany v roce 2024 osobní údaje o opozici na sociálních sítích? ANO,TRUE,domaci-politika,TRUE,TRUE,
26,29,El Nino,Klimatický jev La Niña a jeho očekávaný vývoj,https://www.novinky.cz/clanek/pocasi-la-nina-je-zpet-muze-ovlivnit-letosni-zimu-40543372,"La Niña je studenou fází atmosférické a oceánské cirkulace v tropickém východním Pacifiku, označovanou jako El Niño – Jižní oscilace (ENSO). Už během léta se objevovaly první náznaky, že se jeho neutrální fáze ke konci roku změní právě na La Niñu. Její návrat nyní potvrdili odborníci z NOAA. Podle nejnovějších měření klesla teplota mořské hladiny tropického Pacifiku o 0,5 °C pod průměr. Na základě toho vydala NOAA ve čtvrtek varování před jevem La Niña. Podmínky La Niña se poprvé objevily v září 2025. To potvrzuje nejen ochlazení oceánu, ale i atmosférické změny, jako zesílené pasáty a zvýšená konvekce (stoupání teplého vlhkého vzduchu) nad Indonésií v západním Pacifiku.",Je La Niña teplou fází oceánské cirkulace v Pacifiku? NE,FALSE,svetova-politika,FALSE,FALSE,
27,30,Zapad 2025,Hodnocení připravenosti NATO na bezpečnostní výzvy,"https://www.novinky.cz/clanek/zahranicni-po-skonceni-cviceni-zapad-2025-ma-putin-pro-vojaky-tri-mozne-scenare-40538965
","Jedna věc je jasná, píše Thiede. Putin demonstruje sílu, zatímco země NATO ještě nejsou na případný střet připraveny. Důkazem toho je nedávný průnik dronů do Polska: z 25 levných bezpilotních letadel byly sestřeleny pouze tři a likvidace každého z nich stála 400 tisíc eur (zhruba 8,3 milionu korun). „To je střelba na vrabce z kanónu a Evropané vypadají jako 35leté dítě, které se odstěhuje z domu rodičů a najednou čelí problémům dospělých,“ shrnuje analytik listu Bild. Moskva zprostředkovává záběry z masivního společného vojenského cvičení Ruska a Běloruska i západním divákům. Překvapivá je pak účast amerických důstojníků, kteří akci sledují.",Vniklo nedávno do Polska 25 levných bezpilotních letadel? ANO,TRUE,svetova-politika,TRUE,FALSE,
28,31,Cinske embargo,Analýza americko-čínských obchodních vztahů,https://aeronet.news/za-zmenou-trumpovych-postoju-jsou-drasticke-dopady-cinskeho-embarga-na-americky-hi-tech-sektor-a-vojensko-prumyslovy-komplex-cinan-zavrel-kram-a-tak-rus-a-jeho-suroviny-na-sibiri-jsou-great-again/,"Za změnou Trumpových postojů jsou drastické dopady čínského embarga na americký hi-tech sektor a vojensko-průmyslový komplex! Číňan zavřel krám, a tak Rus a jeho suroviny na Sibiři jsou “Great Again” a válka na Ukrajině může jít stranou! Tunel mezi Aljaškou a Čukotkou bude razit Elon Musk? Podle Orbána jiná volba nepřipadala v úvahu a podle sekčního ex-šéfa CIA ruské hrozby i vábení Trumpa zabralo! Ještě v úterý a ráno ve středu hrozil Donald Trump otevřeně Rusku střílením amerických raket Tomahawk na ruské cíle, ale ve čtvrtek se něco stalo a Trump narychlo volal Putinovi a po telefonickém rozhovoru trvajícím dvě a půl hodiny oznámil již druhý summit s Putinem.",Jsou podle textu ruské suroviny pro USA opět zajímavé kvůli čínskému embargu? ANO,TRUE,svetova-politika,TRUE,TRUE,
29,32,Zachrana ledvin,Význam dárcovství a transplantací orgánů v Česku,https://ct24.ceskatelevize.cz/clanek/domaci/prevence-muze-zachranit-ledviny-na-prohlidky-chodte-i-bez-potizi-radi-lekarka-366445,"Evropa si v říjnu každoročně připomíná důležitost dárcovství orgánů. V Česku je nejčastěji transplantovaným orgánem ledvina a tuzemské zdravotnictví patří v této oblasti mezi evropskou špičku. Odborníci dlouhodobě usilují o zvýšení podílu transplantací ledvin od žijících dárců, které pacientům přinášejí lepší výsledky ve srovnání s ledvinami od zemřelých dárců. Překážkou často bývají pacienti, kteří se zdráhají hovořit o své situaci s blízkými nebo s lékaři. Překonání této bariéry může znamenat zásadní zlom v jejich cestě ke kvalitnějšímu životu bez dialýzy.",Je v Česku nejčastěji transplantovaným orgánem ledvina? ANO,TRUE,zdravi,FALSE,FALSE,
30,33,Nedostatek zachranaru,Nedostatek personálu ve zdravotnické záchranné službě,https://ct24.ceskatelevize.cz/clanek/domaci/kraje-trapi-nedostatek-zdravotnickych-zachranaru-366484,"Kraje se potýkají s nedostatkem zdravotnických záchranářů – chybí především lékaři a operátoři. Mohou za to vyšší požadavky na kvalifikaci, ale také odchody do penze. Většina doktorů u záchranky je totiž v důchodovém věku. A absolventi dávají po povinné praxi obvykle přednost práci v nemocnicích. Výjezdů přitom neustále přibývá, část neakutních případů se dá řešit například radou po telefonu. Problémem jsou ale takzvané zlomyslné telefonáty, kdy dotyčný pomoc ve skutečnosti nepotřebuje.",Chybí krajským záchrankám především řidiči a technici? NE,FALSE,zdravi,TRUE,FALSE,
31,34,Pandemie,Pohledy na komunikaci během pandemie,https://quest.ms.mff.cuni.cz/teitok-dev/teitok/cedmo2024/index.php?action=file&cid=doc0061.xml,"Pane doktore, tak nám zase roste pandemie… Rychlost a hladká realizace se daří díky propojení světa internetem, díky soustavnému mediálnímu šíření strachu, absolutní kontrole nad šířením informací. Umělá inteligence umožnila lidi dokonale ovládat, manipulovat, řídit jejich myšlení a chování. Ve chvíli, kdy polevil strach z viru, byl nahrazen strachem k represí. Covid je ‚náhradním řešením‘ problémů naší civilizace, které globální vlády řešit neumějí nebo řešit nechtějí: přelidnění, vyčerpání energetických rezerv, nedostatek pitné vody a základních potravin, devastace životního prostředí, astronomické státní dluhy.","Uvádí text, že rychlá realizace pandemie se daří díky šíření strachu a internetu? ANO",TRUE,zdravi,TRUE,TRUE,
